reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,notes,standard_value,date
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,326.1,value in thousands,,326.1,2025-11-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,96.5,value in percentage,,96.5,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,992.9,value in thousands,,992.9,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,24.6,value in percentage,,24.6,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,14.1,value in thousands,,14.1,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.4,value in percentage,,99.4,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,203.6,value in thousands,,203.6,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.1,value in percentage,,99.1,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,166.1,value in thousands,,166.1,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,95.4,value in percentage,,95.4,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,3.9,value in thousands,,3.9,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.1,value in percentage,,99.1,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,76.8,value in thousands,,76.8,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,25.2,value in percentage,,25.2,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,3.0,value in thousands,,3.0,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,96.6,value in percentage,,96.6,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,6.3,value in thousands,,6.3,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.9,value in percentage,,99.9,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,62.5,value in thousands,,62.5,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.2,value in percentage,,99.2,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Spam,1.5,value in millions,,1.5,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-injury,99.8,value in percentage,,99.8,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-injury,930.6,value in thousands,,930.6,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,54.2,value in percentage,,54.2,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,3.8,value in thousands,,3.8,2025-10-01
2025,October,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,97.1,value in percentage,,97.1,2025-10-01
2025,October,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,210.0,value in thousands,,210.0,2025-10-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,97.2,value in percentage,,97.2,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.1,value in millions,,1.1,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,16.4,value in percentage,,16.4,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,15.9,value in thousands,,15.9,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,175.2,value in thousands,,175.2,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.0,value in percentage,,99.0,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,113.3,value in thousands,,113.3,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,96.6,value in percentage,,96.6,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,3.6,value in thousands,,3.6,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,98.8,value in percentage,,98.8,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,45.4,value in thousands,,45.4,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,16.7,value in percentage,,16.7,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,3.7,value in thousands,,3.7,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,97.5,value in percentage,,97.5,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,6.2,value in thousands,,6.2,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.8,value in percentage,,99.8,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,25.6,value in thousands,,25.6,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.9,value in percentage,,99.9,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Spam,1.0,value in millions,,1.0,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-injury,97.9,value in percentage,,97.9,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-injury,2.1,value in millions,,2.1,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,97.2,value in percentage,,97.2,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,275.7,value in thousands,,275.7,2025-09-01
2025,September,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,38.4,value in percentage,,38.4,2025-09-01
2025,September,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,2.9,value in thousands,,2.9,2025-09-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.3,value in percentage,,98.3,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.2,value in millions,,1.2,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,22.2,value in percentage,,22.2,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,13.7,value in thousands,,13.7,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.8,value in percentage,,99.8,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,475.0,value in thousands,,475.0,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.1,value in percentage,,99.1,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,100.0,value in thousands,,100.0,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,95.6,value in percentage,,95.6,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,3.3,value in thousands,,3.3,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.0,value in percentage,,99.0,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,30.3,value in thousands,,30.3,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,19.8,value in percentage,,19.8,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,2.5,value in thousands,,2.5,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,96.8,value in percentage,,96.8,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,6.8,value in thousands,,6.8,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,98.7,value in percentage,,98.7,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,4.5,value in thousands,,4.5,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,96.8,value in percentage,,96.8,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Spam,2.4,value in millions,,2.4,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.4,value in millions,,1.4,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,60.6,value in percentage,,60.6,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,3.7,value in thousands,,3.7,2025-08-01
2025,August,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,97.9,value in percentage,,97.9,2025-08-01
2025,August,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,390.0,value in thousands,,390.0,2025-08-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.3,value in percentage,,98.3,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.3,value in millions,,1.3,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,45.9,value in percentage,,45.9,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,24.0,value in thousands,,24.0,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.8,value in percentage,,99.8,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,581.2,value in thousands,,581.2,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.2,value in percentage,,99.2,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,144.0,value in thousands,,144.0,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,95.4,value in percentage,,95.4,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,4.2,value in thousands,,4.2,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,98.7,value in percentage,,98.7,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,27.5,value in thousands,,27.5,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,47.9,value in percentage,,47.9,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,4.7,value in thousands,,4.7,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,98.1,value in percentage,,98.1,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,10.2,value in thousands,,10.2,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,97.9,value in percentage,,97.9,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,7.3,value in thousands,,7.3,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,98.0,value in percentage,,98.0,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Spam,1.3,value in millions,,1.3,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.8,value in percentage,,99.8,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.5,value in millions,,1.5,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,75.4,value in percentage,,75.4,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,7.1,value in thousands,,7.1,2025-07-01
2025,July,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,98.8,value in percentage,,98.8,2025-07-01
2025,July,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,586.3,value in thousands,,586.3,2025-07-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.6,value in percentage,,98.6,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.6,value in millions,,1.6,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,81.5,value in percentage,,81.5,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,45.1,value in thousands,,45.1,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.8,value in percentage,,99.8,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,323.6,value in thousands,,323.6,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.2,value in percentage,,99.2,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,115.3,value in thousands,,115.3,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,97.1,value in percentage,,97.1,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,7.5,value in thousands,,7.5,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.0,value in percentage,,99.0,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,33.7,value in thousands,,33.7,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,81.4,value in percentage,,81.4,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,8.8,value in thousands,,8.8,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,98.5,value in percentage,,98.5,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,6.8,value in thousands,,6.8,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.1,value in percentage,,99.1,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,8.2,value in thousands,,8.2,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,96.4,value in percentage,,96.4,2025-06-01
